id;nom;vendable_unite;prix;quantite;pas;description;provenance;image;saison;numero_version
1;Mirabelle;false;3.15;20000;100;La mirabelle est une petite prune douce et parfumée, fruit du mirabellier. Si l’on situe assez précisément son origine en Chine, les théories sont en revanche divergentes sur son arrivée en France. La théorie la plus courante est qu’elle aurait été rapportée de croisades au XVème siècle par le Duc d’Anjou et de Lorraine, René Ier.;Danemark;https://www.intragarten.de/media/image/product/1813/lg/zwergobstbaum-pflaume-mirabelle-de-nancy.jpg;PRINTEMPS;0
2;Pomme Antarès;false;2.80;25000;150;La pomme est originaire d’Asie mineure et tire son nom du latin 'pomum' qui signifie 'fruit'. Chargée de symboles et de mythes, la pomme était déjà très appréciée dans le monde antique. Les Gaulois en faisaient du cidre en grande quantité. La pomme Antarès de part son goût et son aspect rappelle les belles pommes des vergers de notre enfance. Elle est cultivée de façon raisonnée. Ses caractéristiques lui permettent de lutter naturellement contre les champignons nuisibles aux vergers, pour lutter contre les vers, des nichoirs sont placés dans les pommiers afin de permettre aux mésanges de s’y installer et de chasser le vers en toute liberté !;Irlande;https://static.libertyprim.com/files/varietes/pomme-antares-large.jpg;PRINTEMPS;0
3;Pomme de terre;false;1.57;250000;500;La pomme de terre est née en Amérique du Sud 5000 ans avant notre ère sous le nom de Papa. Les Espagnols l’amenèrent en Europe au XVIème siècle, la rebaptisant alors 'batata'. En France, c’est Antoine Parmentier qui persuada Louix XVI de son utilité pour lutter contre la famine et qui assura ainsi son développement dans toute la société française.;Pologne;http://graines-elem.com/WebRoot/Store29/Shops/ce09ab6d-0f5e-4cc0-ba9e-1c2ad484d809/5A29/4EF4/42DD/29AF/086B/0A48/356F/8D3A/Pomme-de-terre-Charlotte.jpg;ETE;0
4;Banane;true;4.79;1000;1;Les bananes fruits sont très sucrées et il en existe des centaines de variétés. Les plus courantes sont : la Grande Naine, la Gros Michel, la Poyo et la Cavendish. Elles sont longues et jaunes à tâches brunes mais aussi courtes et violacées.;Suisse;https://freepngimg.com/download/banana/1-banana-png-image.png;ETE;0
5;Courgette;true;2.64;1000;1;Appartenant à la famille des cucurbitaceae, la courgette est originaire d’Amérique Centrale où elle faisait partie des aliments les plus consommés par les Indiens d’Amérique. C’est une variété de courge à la peau brillante et lisse, que l’on consomme avant sa pleine maturité. Il en existe de nombreuses variétés, qui diffèrent par leurs couleurs ou leurs formes : la grisette de Provence, la blanche de Virginie, la Gold Rush à la teinte jaune, la trompette (allongée et terminée par un renflement qui contient les graines) ou la ronde de Nice…;France;http://freshlifeorganics.com/images/Vegetables/Zucchini-Squash.png;PRINTEMPS;0
6;Potimarron;true;4.99;620;1;Le potimarron fait partie de la famille des cucurbitacées, au même titre que le potiron. Mais il s’en distingue par son poids plus réduit : la plupart pèse entre 1 et 3 kg, avec une forme de poire ou de toupie. Le potimarron se reconnaît aussi à la couleur de son écorce. Elle est généralement d’un beau rouge brique. Mais on rencontre également des potimarrons à l’écorce rose, orangée, voire à la peau verte.;France;https://fr.rc-cdn.community.thermomix.com/recipeimage/u8rvgtdq-0f496-541902-cfcd2-yfqm48s6/0f39542c-366d-495b-bbcc-3be3da85d24f/main/veloute-de-potimarron-au-curry.jpg;AUTOMNE;0
7;Concombre;true;1.20;1600;1;Le concombre est originaire de l’Himalaya et s’est rapidement propagé vers la Chine et le Moyen-Orient. Il fut ensuite cultivé sur les bords du Nil par les Egyptiens qui en consommaient beaucoup et le faisaient figurer parmi les offrandes destinées aux Dieux. Le concombre est issu d’une plante rampante de la même famille que les courgettes et les cornichons.;Espagne;https://www.unepommeparjour.com/wp-content/uploads/2018/05/main_original_58b58e7132d7a_171627.jpg;ETE;0
8;Salade Iceberg;true;1.99;500;1;La salade Iceberg, fait partie de la famille des laitues batavias. Elle a été cultivée pour la première fois vers 1930 en Californie. Comme son nom l’indique, elle résiste très bien au froid. C’est une salade aux feuilles dentelées, croquantes, craquantes et très fraîches. On la consomme crue et surtout en été. Facile à cultiver, on la retrouve de plus en plus au sein des potagers français. Reine des Glaces (ou Frisée de Beauregard), Balmoral, Blonde de Paris et Great Lakes sont 4 variétés de salade Iceberg.  C’est un aliment bénéfique pour la santé, riche en eau, sels minéraux, vitamines et fibres.;Turquie;https://www.fruttaweb.com/13914/3288.jpg;HIVER;0
9;Tomate cerise;false;3.68;30000;50;Parmi les nombreuses variétés de tomates, la tomate cerise a su tirer son épingle du jeu : ce petit fruit, consommé comme un légume, fait partie des variétés de tomates les plus consommées. La tomate cerise est originaire d’Amérique du Sud, où elle pousse encore à l’état sauvage. La tomate cerise se distingue avant tout par sa taille. Le plus souvent elle est ronde mais certaines peuvent être allongées, comme les tomates cerise cœur de pigeon. Quant à sa couleur, généralement rouge, elle peut aussi varier : les tomates cerises Black cherry sont noires, les tomates Indigo rose sont rouges avec la face exposée au soleil pourpre foncé, d’autres encore sont jaunes…;Italie;https://www.prixing.fr/images/product_images/c14/c14747b2693e6d12b84c2f3904cfa1fc.png;PRINTEMPS;0
10;Tomate coeur de boeuf;false;3.10;30000;300;Originaire d’Amérique du Sud, la tomate est arrivée en Europe au XVIème siècle, notamment en Espagne et en Italie. Il existe de très nombreuses variétés de tomates, qui se distinguent par leurs formes, leurs couleurs, leurs textures et leurs goûts. La tomate cœur de bœuf fait partie de ces variétés anciennes que l’on redécouvre depuis quelques années. La tomate cœur de bœuf se reconnaît à sa taille, (entre 300 et 500 grammes), sa forme de cœur, bien ronde en haut et pointue en bas. C’est une tomate très charnue, avec très peu de pépins et un goût légèrement sucré. Elle est relativement fragile.;Espagne;https://charbonneaulexpert.com/wp-content/uploads/2020/04/tomate-coeur-de-boeuf.png;AUTOMNE;0
11;Ananas;true;3.99;20;1;L’ananas appartient à la famille des Broméliacées. Il est originaire d’Amérique. Au XVIIIème siècle, les hollandais furent les premiers à le faire pousser sous serre mais sa consommation était réservée à la noblesse. La culture de l’ananas se répandit à travers le monde au fil des voyages et des colonisations. Mûr, la peau des ananas va de vert au jaune, ne vous y fiez pas car ce n’est pas un indice de maturité. Il faut le choisir ferme sur toute sa surface et bien lourd dans la main, sans tâche marron.;Madagascar;https://purepng.com/public/uploads/large/purepng.com-pineapplepineappleananas-comosuscoalesced-berriespineapples-1701527358223i8aot.png;ETE;0
12;Cerise;false;4.23;0;250;L’existence du cerisier remonte à la préhistoire, et la légende raconte que la cerise aurait été découverte sur les bords de la mer Noire par les Romains. En France, la cerise est cultivée dès le Moyen-âge. Premier fruit à noyau de la saison, la cerise a, selon les variétés, une peau rouge (plus ou moins foncé), noire ou jaune orangée. Les cerisiers d'Europe sont issus de deux espèces originaires d'Asie Mineure, le merisier ou cerisier doux (cerise bigarreau, guigne) ou le griottier ou cerisier acide (cerise amarelle, griotte).;France;https://purepng.com/public/uploads/medium/purepng.com-ripe-cherryfruitscherry-981525180683homsv.png;PRINTEMPS;0
13;Avocat Hass;true;3.50;600;1;L’avocat Hass est un petit fruit à la peau épaisse et granuleuse, de couleur brun à violacé quand il arrive à maturité. Sa chair est blonde, ferme et parfumée.;Brésil;http://exoticfruitbox.com/wp-content/uploads/2015/10/aguacate.jpg;AUTOMNE;0
14;Carotte diamantine;false;2.00;100000;200;La carotte Diamantine est une carotte d’excellence. Elle est issue des sables de la côté ouest du Cotentin et répond à un cahier des charges très rigoureux. Elle est cultivée en Basse Normandie uniquement selon des règles très précises. Elle est ensuite triée à la main, ceci afin de préserver le produit et de vous offrir les plus belles carottes. De plus, il ne s’écoule pas plus de 24 heures entre sa récolte et son départ vers votre magasin. Vous n’aurez jamais dégusté une carotte aussi fraîche et savoureuse ! N’hésitez pas à la découvrir, vous tomberez sous le charme…;France;http://recueil-de-png.r.e.pic.centerblog.net/o/cde183c3.png;ETE;0
15;Clémentine;false;2.20;100000;100;Appartenant à la famille des agrumes, la clémentine est le fruit d’un arbre hybride, le clémentinier, crée à partir du croisement d’un mandarinier et d’un oranger : l’espèce est née en Algérie au début du XXème siècle, des travaux du père Clément et de Louis Charles Trabut, botaniste et médecin français. La clémentine est un fruit de 70 g environ, plus ou moins gros selon les variétés. Sa peau est verte lorsqu’il est mûr mais vire à l’orange avec la baisse de la température. Le fruit séduit par ses saveurs douces et acidulées, sa chair juteuse et surtout son absence de pépins.;France;https://www.elitefruits.com/wp-content/uploads/2018/08/CLEMENTINE3-600x376.png;HIVER;0
16;Citron;false;1.70;100000;100;Le citron était autrefois appelé 'limon' de l’italien 'limone' ou de l’espagnol 'lima'. Le mot 'lime' est toujours utilisé maintenant mais pour nommer le petit citron vert. Originaire de Chine et d’Inde, le citron a été utilisé dès le début du Moyen-Age, puis s’est répandu en Europe vers la fin du XIIe siècle pour traverser l’Atlantique en 1493 sur le bateau de Christophe Colomb. En France, il connut un vif succès aux alentours du XVIIIème siècle, en tant que produit de beauté mais surtout comme remède supposé contre le scorbut.;Pays-bas;https://www.pngplay.com/wp-content/uploads/3/Citron-Transparentes-PNG.png;PRINTEMPS;0
17;Epinard;false;1.20;20000;100;L’épinard est un légume feuille de la même famille que la blette. Originaire de Perse, il apparaît en France au XVIème siècle.;Portugal;https://www.santeetnutrition.com/liste-des-legumes/images/epinard.jpg;HIVER;0
18;Brocoli;false;4.20;500;100;Le brocoli est originaire du sud de l’Italie. On retrouve d’ailleurs encore aujourd’hui beaucoup le brocoli dans la cuisine italienne. Il fut ensuite introduit en France par Catherine de Médicis. Le mot 'brocoli' est dérivé du latin bracchium signifiant 'branche', en référence à la forme du légume qui fait penser à des arbres miniatures.;France;http://purepng.com/public/uploads/large/purepng.com-broccolivegetables-broccoli-941524725896rn80y.png;PRINTEMPS;0
